CLIN,PartNO,Description,Price
15S-581,DBO202AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,075.76"
15S-582,DBO202AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$8,844.69"
15S-583,DBO202AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,306.82"
15S-66,DBO202SE,"Origin Server, with Just-In-Time Packaging capabilities (HLS, MSS, HDS support) enabling live-to-file applications, streams filtering and modifications.HW: compatible with hardware configurations defined by Elemental.","$27,488.12"
15S-584,DBO202SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$5,973.86"
15S-585,DBO202SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,467.32"
15S-586,DBO202SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,480.39"
15S-15,L020AE,"Live video encoding in software. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: H.264. Platform: Ubuntu OS, 4 CPU cores, 2 GigE ports, 1 HD-SDI/HDMI input, single power supply, small form fa","$9,380.00"
15S-587,L020AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$2,038.51"
15S-588,L020AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$2,548.14"
15S-589,L020AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$1,528.88"
15S-16,L023AE,"Live video encoding in software. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: H.264. Platform: CentOS, 4 CPU cores, 2 GigE ports, 1 HD-SDI/HDMI input, single power supply, small form facto","$9,380.00"
15S-590,L023AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$2,038.51"
15S-591,L023AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$2,548.14"
15S-592,L023AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$1,528.88"
15S-41,L023SE,"Solution includes: 
SW: Live video encoding. Outputs include Adobe RTMP and HDS Support, Microsoft Smooth Streaming, UDP, Apple HLS and others using H.264 codecs. Supports up to 8 CPU cores 
HW: None","$6,482.70"
15S-593,L023SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$1,408.85"
15S-594,L023SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$1,761.07"
15S-595,L023SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$1,056.64"
15S-17,L024AE,"Live video encoding in software. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: H.264. Platform: CentOS, 4 CPU cores, 2 GigE ports, 4 3G-SDI inputs, single power supply, small form factor, d","$12,277.30"
15S-596,L024AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$2,668.17"
15S-597,L024AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$3,335.21"
15S-598,L024AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,001.12"
15S-42,L150SE,"Solution includes: 
SW: GPU-accelerated, live video encoding. Outputs include RTMP, Microsoft HSS, UDP, Apple HLS and others using H.264, VC-1 and MPEG-2 codecs. 
HW: None","$13,001.63"
15S-599,L150SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$2,825.58"
15S-600,L150SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$3,531.97"
15S-601,L150SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,119.18"
15S-18,L172AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 8 CPU cores, 1 GPU, dual power supplies, 2 GigE","$15,174.60"
15S-602,L172AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,297.82"
15S-603,L172AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$4,122.28"
15S-604,L172AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,473.37"
15S-19,L173AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 8 CPU cores, 1 GPU, dual power supplies, 2 GigE","$16,623.25"
15S-605,L173AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,612.65"
15S-606,L173AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$4,515.81"
15S-607,L173AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,709.49"
15S-20,L174AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 8 CPU cores, 1 GPU, dual power supplies, 2 GigE","$18,071.90"
15S-608,L174AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$3,927.48"
15S-609,L174AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$4,909.35"
15S-610,L174AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$2,945.61"
15S-21,L175AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 8 CPU cores, 1 GPU, dual power supplies, 2 GigE","$18,796.23"
15S-611,L175AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,084.89"
15S-612,L175AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,106.11"
15S-613,L175AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,063.67"
15S-22,L176AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 8 CPU cores, 1 GPU, dual power supplies, 2 GigE","$20,969.20"
15S-614,L176AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,557.13"
15S-615,L176AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,696.42"
15S-616,L176AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,417.85"
15S-43,L200SE,"Solution includes: 
SW: GPU-accelerated, live video encoding. Outputs include RTMP, Microsoft HSS, UDP, Apple HLS and others using H.264, VC-1 and MPEG-2 codecs. 
HW: None","$20,969.20"
15S-617,L200SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,557.13"
15S-618,L200SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,696.42"
15S-619,L200SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,417.85"
15S-23,L220AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$26,039.47"
15S-620,L220AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$5,659.03"
15S-621,L220AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,073.79"
15S-622,L220AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,244.27"
15S-24,L221AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$27,488.12"
15S-623,L221AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$5,973.86"
15S-624,L221AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,467.32"
15S-625,L221AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,480.39"
15S-25,L222AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$28,936.77"
15S-626,L222AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$6,288.69"
15S-627,L222AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,860.86"
15S-628,L222AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,716.51"
15S-26,L224AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 6 Gi","$27,488.12"
15S-629,L224AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$5,973.86"
15S-630,L224AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,467.32"
15S-631,L224AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,480.39"
15S-27,L228AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$29,661.10"
15S-632,L228AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$6,446.10"
15S-633,L228AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$8,057.62"
15S-634,L228AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,834.57"
15S-28,L229AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 6 Gi","$39,077.32"
15S-635,L229AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$8,492.48"
15S-636,L229AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$10,615.60"
15S-637,L229AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$6,369.36"
15S-29,L240AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 2RU, 16 CPU cores, 2 GPUs, dual power supplies, 4 Gi","$28,212.45"
15S-638,L240AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$6,131.27"
15S-639,L240AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$7,664.09"
15S-640,L240AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$4,598.45"
15S-30,L244AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$31,834.07"
15S-641,L244AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$6,918.34"
15S-642,L244AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$8,647.93"
15S-643,L244AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,188.76"
15S-31,L245AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 6 Gi","$33,282.72"
15S-644,L245AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,233.17"
15S-645,L245AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,041.46"
15S-646,L245AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,424.88"
15S-32,L246AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 1RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$33,282.72"
15S-647,L246AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,233.17"
15S-648,L246AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,041.46"
15S-649,L246AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,424.88"
15S-33,L247AE,"Live video encoding in software, GPU-accelerated. Outputs: Apple HLS, Adobe RTMP and HDS, Microsoft Smooth Streaming, MPEG DASH, UDP/RTP, RTSP and others. Video: HEVC, H.264, MPEG-2. and VC-1. Platform: 2RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 Gi","$34,007.05"
15S-650,L247AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,390.58"
15S-651,L247AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,238.23"
15S-652,L247AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,542.94"
15S-923,L282AE,"Elemental ® Live 280 AE series
(1RU, 6 GigE ports, 8 HD-SDI or
4 3G-SDI inputs, LTC input)","$50,950.00"
15S-44,L400SE,"Solution includes: 
SW: GPU-accelerated, live video encoding. Outputs include Adobe RTMP and HDS support, Microsoft Smooth Streaming, UDP, Apple HLS and others using H.264, VC-1 and MPEG-2 codecs, 32 CPU Cores 
HW: None","$36,180.02"
15S-653,L400SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,862.83"
15S-654,L400SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,828.53"
15S-655,L400SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,897.12"
